연도,수출입물가지수,수출,전년동월대비 수출 증감률,수입,전년동월대비 수입 증감률,무역수지,외환보유액,원/달러,원/달러(절상율),경상수지,무역수지,코스피지수,코스닥지수,부도율,부도금액,부도업체수,기준금리,노년부양비,소비자물가상승률,근원물가상승률,생활물가상승률,모성사망수,모성사망비,모성사망률,신생아 사망률,신생아 후기 사망률,영아 사망률
2007,-2.1,3715,14.1,3569,15.3,146,2622,936.1,-0.7,10473,14643,1897.13,704.23,0.02,5.0,2294,5.0,13.5,2.5,2.3,3.2,72,15.0,0.5,2,1.5,3.5
2008,21.8,4220,13.6,4353,22.0,-133,2012,1259.5,-25.7,1753,-13267,1124.47,332.05,0.02,8.0,2735,3.0,14.0,4.7,4.3,5.3,58,12.0,0.4,2,1.5,3.4
2009,-0.2,3635,-13.9,3231,-25.8,405,2700,1164.5,8.2,33088,40449,1682.77,513.57,0.02,7.6,1998,2.0,14.4,2.8,3.6,2.1,60,13.5,0.45,2,1.5,3.2
2010,-2.6,4664,28.3,4252,31.6,412,2916,1134.8,2.6,27951,41172,2051.00,511.0,0.02,8.5,1570,2.5,14.8,2.9,1.8,3.4,74,15.7,0.55,2,1.4,3.2
2011,0.2,5552,19.0,5244,23.3,308,3064,1151.8,-1.5,16638,30801,1826.00,500.0,0.02,5.7,1359,3.25,15.0,4.0,3.2,4.4,81,17.2,0.61,2,1.3,3.0
2012,-2.4,5479,-1.3,5196,-0.9,283,3270,1070.6,7.6,48791,28285,1997.05,496.32,0.02,5.2,1228,2.75,15.6,2.2,1.7,1.7,48,9.9,0.37,2,1.2,2.9
2013,-4.3,5596,2.1,5156,-0.8,440,3465,1055.4,1.4,77259,44047,2011.34,499.99,0.02,5.2,1001,2.5,16.3,1.3,1.6,0.7,50,11.5,0.38,2,1.3,3.0
2014,-6.0,5727,2.3,5255,1.9,472,3636,1099.3,-4.0,83030,47150,1915.59,542.97,0.02,6.0,841,2.0,16.8,1.3,2.0,0.8,48,11.0,0.37,2,1.3,3.0
2015,-5.2,5268,-8.0,4365,-16.9,903,3680,1172.5,-6.2,105119,90258,1961.31,682.35,0.01,4.6,720,1.5,17.5,0.7,2.2,-0.2,38,8.7,0.3,2,1.2,2.7
2016,-3.3,4954,-5.9,4062,-6.9,892,3711,1207.7,-2.9,97924,89233,2026.46,631.44,0.01,2.9,555,1.25,18.0,1.0,1.6,0.7,34,8.4,0.27,2,1.2,2.8
2017,6.1,5737,15.8,4785,17.8,952,3893,1070.5,12.8,75231,95216,2467.49,798.42,0.01,3.4,494,1.5,18.8,1.9,1.5,2.5,28,7.8,0.22,2,1.3,2.8
2018,0.8,6049,5.4,5352,11.9,697,4037,1115.7,8.2,77467,69657,2041.04,675.65,0.01,2.9,469,1.75,19.6,1.5,1.2,1.6,37,11.3,0.3,2,1.2,2.8
2019,-3.4,5422,-10.4,5033,-6.0,389,4088,1156.4,-3.5,59376,38890,2197.67,669.83,0.01,1.8,414,1.25,20.4,0.4,0.9,0.2,30,9.9,0.25,2,1.2,2.7
2020,-5.2,5125,-5.5,4676,-7.1,449,4431,1086.3,6.5,75902,44865,2873.47,968.42,0.0,1.3,292,0.5,21.8,0.5,0.7,0.4,32,11.8,0.27,1,1.2,2.5
2021,14.3,6444,25.7,6151,31.5,293,4631,1188.8,-8.6,85228,29307,2977.65,1033.98,0.0,1.9,183,1.0,23.1,2.5,1.8,3.2,23,8.8,0.2,1,1.2,2.4
2022,16.6,6836,6.1,7314,18.9,-478,4232,1264.5,-6.0,25829,-47785,2236.40,679.29,0.0,2.3,149,3.25,24.6,5.1,4.1,6.0,21,8.4,0.18,1,1.1,2.3
2023,-8.2,6322,-7.5,6426,-12.1,-103,4202,1288.0,-1.8,35488,-10346,2655.58,866.57,0.01,5.3,189,3.5,26.1,3.6,4.0,3.9,23,10,0.18,1,1.1,2.5
